Date,Province_State,County Name,New Cases/100k population
2020-03-01,Oregon,Washington County,0.0
2020-03-02,Oregon,Washington County,0.1673094136641598
2020-03-03,Oregon,Washington County,0.0
2020-03-04,Oregon,Washington County,0.0
2020-03-05,Oregon,Washington County,0.0
2020-03-06,Oregon,Washington County,0.0
2020-03-07,Oregon,Washington County,0.1673094136641598
2020-03-08,Oregon,Washington County,0.8365470683207991
2020-03-09,Oregon,Washington County,0.0
2020-03-10,Oregon,Washington County,0.0
2020-03-11,Oregon,Washington County,0.0
2020-03-12,Oregon,Washington County,0.3346188273283196
2020-03-13,Oregon,Washington County,0.0
2020-03-14,Oregon,Washington County,0.5019282409924795
2020-03-15,Oregon,Washington County,0.0
2020-03-16,Oregon,Washington County,0.0
2020-03-17,Oregon,Washington County,1.3384753093132784
2020-03-18,Oregon,Washington County,0.3346188273283196
2020-03-19,Oregon,Washington County,0.3346188273283196
2020-03-20,Oregon,Washington County,1.003856481984959
2020-03-21,Oregon,Washington County,1.8404035503057576
2020-03-22,Oregon,Washington County,2.1750223776340776
2020-03-23,Oregon,Washington County,2.3423317912982373
2020-03-24,Oregon,Washington County,1.1711658956491189
2020-03-25,Oregon,Washington County,3.346188273283196
2020-03-26,Oregon,Washington County,1.3384753093132784
2020-03-27,Oregon,Washington County,3.0115694459548767
2020-03-28,Oregon,Washington County,3.0115694459548767
2020-03-29,Oregon,Washington County,2.3423317912982373
2020-03-30,Oregon,Washington County,2.3423317912982373
2020-03-31,Oregon,Washington County,3.0115694459548767
2020-04-01,Oregon,Washington County,0.5019282409924795
2020-04-02,Oregon,Washington County,3.680807100611516
2020-04-03,Oregon,Washington County,2.844260032290717
2020-04-04,Oregon,Washington County,0.0
2020-04-05,Oregon,Washington County,5.186591823588954
2020-04-06,Oregon,Washington County,0.0
2020-04-07,Oregon,Washington County,2.007712963969918
2020-04-08,Oregon,Washington County,1.8404035503057576
2020-04-09,Oregon,Washington County,4.851972996260635
2020-04-10,Oregon,Washington County,0.0
2020-04-11,Oregon,Washington County,1.5057847229774384
2020-04-12,Oregon,Washington County,4.684663582596475
2020-04-13,Oregon,Washington County,2.007712963969918
2020-04-14,Oregon,Washington County,0.8365470683207991
2020-04-15,Oregon,Washington County,-0.1673094136641598
2020-04-16,Oregon,Washington County,2.007712963969918
2020-04-17,Oregon,Washington County,1.1711658956491189
2020-04-18,Oregon,Washington County,0.6692376546566392
2020-04-19,Oregon,Washington County,2.007712963969918
2020-04-20,Oregon,Washington County,0.0
2020-04-21,Oregon,Washington County,1.1711658956491189
2020-04-22,Oregon,Washington County,1.673094136641598
2020-04-23,Oregon,Washington County,3.0115694459548767
2020-04-24,Oregon,Washington County,1.3384753093132784
2020-04-25,Oregon,Washington County,1.3384753093132784
2020-04-26,Oregon,Washington County,1.1711658956491189
2020-04-27,Oregon,Washington County,1.5057847229774384
2020-04-28,Oregon,Washington County,-0.1673094136641598
2020-04-29,Oregon,Washington County,1.1711658956491189
2020-04-30,Oregon,Washington County,1.673094136641598
